TIP,Close,High,Low,Open,Volume
2020-01-02,98.10745239257812,98.14933110220228,97.93157331378579,97.93157331378579,2150700
2020-01-03,98.55970001220703,98.68532973139177,98.40894562714395,98.45919495890067,1259900
2020-01-06,98.30846405029297,98.69372392861293,98.26659172709408,98.69372392861293,917500
2020-01-07,98.00691223144531,98.20792229791577,98.00691223144531,98.18279763705488,810500
2020-01-08,97.91480255126953,98.14093091639866,97.7891728418456,98.03205524278722,2121500
2020-01-09,97.90641784667969,97.92316549138486,97.64678143030974,97.70541416125776,1814000
2020-01-10,98.19956970214844,98.21631735029008,98.0069366046565,98.03206766155888,1609300
2020-01-13,98.18280792236328,98.21630321382554,98.03205355161376,98.13255220558521,1422700
2020-01-14,98.31682586669922,98.35032755395417,98.19957315620366,98.22469782419648,3290000
2020-01-15,98.39217376708984,98.49267240587217,98.3837967505942,98.49267240587217,1601600
2020-01-16,98.23304748535156,98.36704780725849,98.22467046842247,98.35030016319202,1205800
2020-01-17,98.07392883300781,98.14930921556318,98.00692546846804,98.09905349726209,920500
2020-01-21,98.39217376708984,98.44242308648101,98.24141941912498,98.24979004582926,1109700
2020-01-22,98.3251953125,98.4843203274626,98.31681829388313,98.4508250325811,1154700
2020-01-23,98.52618408203125,98.61831210345989,98.49268240243974,98.50943643713151,2230200
2020-01-24,98.74395751953125,98.80258387069873,98.60995077983813,98.60995077983813,963300
2020-01-27,98.97004699707031,99.02867332518981,98.903043653565,98.94492234070346,1111600
2020-01-28,98.8193359375,99.00359201792153,98.8193359375,98.98684436960745,743100
2020-01-29,99.17947387695312,99.25485427097614,98.92822080639458,98.93659143589107,1096400
2020-01-30,99.28836822509766,99.5396213266977,99.12923678789495,99.22974186241156,1199500
2020-01-31,99.71546936035156,99.74897104142366,99.41396062049498,99.43071465592718,2343900
2020-02-03,99.47821807861328,99.50336957520501,99.24346224826832,99.40275719222147,3061900
2020-02-04,99.0506362915039,99.20993765273175,98.94164432660023,99.20993765273175,1635700
2020-02-05,98.75712585449219,98.91642710988546,98.74873989457328,98.81581478069815,1443800
2020-02-06,98.94161987304688,98.97515733010167,98.7655530209711,98.7655530209711,1222400
2020-02-07,99.34406280517578,99.35244876912026,99.14284444682254,99.17638190598412,1071900
2020-02-10,99.49498748779297,99.55367644766612,99.3692236033171,99.41953299507757,627100
2020-02-11,99.2015380859375,99.33568792891901,99.16800062519214,99.33568792891901,600200
2020-02-12,99.10094451904297,99.15125391802108,98.98356658245702,99.01710404956984,1242900
2020-02-13,99.3105239868164,99.35244740934868,99.23506950219775,99.28537249194352,1314600
2020-02-14,99.38597106933594,99.46981150614391,99.36081957795507,99.37758510667054,817500
2020-02-18,99.60395050048828,99.66263943953894,99.46980069887847,99.51172411103519,1078500
2020-02-19,99.56201934814453,99.60394275704202,99.48656488806597,99.57040530924685,787100
2020-02-20,99.75489044189453,99.7632700091017,99.5955891123315,99.62074060718541,809600
2020-02-21,99.93932342529297,100.0483217504851,99.8387174594114,99.8387174594114,930200
2020-02-24,100.40049743652344,100.46757237292196,100.3250429305386,100.40888340272775,1489600
2020-02-25,100.23280334472656,100.55139965590264,100.20764544941355,100.29987187570978,1462300
2020-02-26,100.1824722290039,100.42561399137406,99.9728679231623,100.04832879950548,2459700
2020-02-27,100.47589874267578,100.58489705576562,100.30821788708089,100.450747253998,3634200
2020-02-28,100.63521575927734,101.0208869047057,100.54298935530365,100.7609796189338,5021700
2020-03-02,100.8699722290039,101.1550374059116,100.67713985330415,100.82805520658101,12076100
2020-03-03,101.89283752441406,102.42942400084117,100.81127860881763,100.8699675547826,7529700
2020-03-04,101.74192810058594,102.26174907840299,101.64132212828413,102.06891030379829,4020600
2020-03-05,102.06053924560547,102.35398401697542,101.99346432740198,102.22822014449793,3796000
2020-03-06,102.73963928222656,103.25946022283303,102.27012772078541,103.0582354994023,3888600
2020-03-09,100.62681579589844,103.2259138784649,100.61005026869746,103.03307513427275,5756500
2020-03-10,97.74269104003906,101.02928534340847,97.49954925377631,100.76099206143172,9542100
2020-03-11,95.52925109863281,98.75715581236847,95.15195954718932,98.17864593812422,8568300
2020-03-12,95.30288696289062,99.28536888746063,90.02086214300945,95.05974519358611,12654600
2020-03-13,95.68018341064453,97.2144821894842,95.3280432875153,96.25030742354868,5230400
2020-03-16,95.0177993774414,95.73883850334452,94.330297698861,95.34478149307026,5894300
2020-03-17,92.36005401611328,95.90655565823165,92.36005401611328,94.89207147988932,4496400
